gOTU,mean_abundance,occurrence,Unnamed: 0,Domain,Phylum,Class,Order,Family,Genus,Species,Strain,predicted_occurrence,lower_conf_int,upper_conf_int
G001941805,3.260302556077204e-05,0.10416666666666667,9821,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter junii,t__,0.006488967935515788,0.00045512506263061664,0.08566127374367649
G000158195,3.9123630672926444e-05,0.10416666666666667,793,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium mortiferum,t__,0.007782381801736182,0.0006381632092324202,0.08787337905911771
G000769075,3.9123630672926444e-05,0.10416666666666667,4779,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas sp. COT-290 OH3588,t__,0.007782381801736182,0.0006381632092324202,0.08787337905911771
G000496735,3.9123630672926444e-05,0.10416666666666667,3591,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Methylococcales,f__Methylococcaceae,g__Methyloglobulus,s__Methyloglobulus morosus,t__,0.007782381801736182,0.0006381632092324202,0.08787337905911771
G000013325,3.9123630672926444e-05,0.10416666666666667,192,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__Novosphingobium aromaticivorans,t__,0.007782381801736182,0.0006381632092324202,0.08787337905911771
G000072485,3.9123630672926444e-05,0.10416666666666667,584,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__Stenotrophomonas maltophilia,t__,0.007782381801736182,0.0006381632092324202,0.08787337905911771
G000312445,4.564423578508085e-05,0.10416666666666667,1994,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__Phocaeicola,s__Phocaeicola abscessus,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000296505,4.564423578508085e-05,0.125,1818,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__Actinomyces turicensis,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000156035,4.564423578508085e-05,0.14583333333333334,766,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Tyzzerella,s__Tyzzerella nexilis,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G001028605,4.564423578508085e-05,0.10416666666666667,5871,k__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,g__Treponema,s__Treponema endosymbiont of Eucomonympha sp.,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000315505,4.564423578508085e-05,0.10416666666666667,2028,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales,f__Veillonellaceae,g__Veillonella,s__Veillonella seminalis,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000190535,4.564423578508085e-05,0.10416666666666667,1095,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Odoribacteraceae,g__Odoribacter,s__Odoribacter splanchnicus,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000312505,4.564423578508085e-05,0.125,1995,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__Fenollaria,s__Fenollaria massiliensis,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
G000768955,4.564423578508085e-05,0.14583333333333334,4778,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Porphyromonas,s__Porphyromonas crevioricanis,t__,0.0090743385300186,0.000846592856032953,0.09005739454670453
